sentence,label,sentiment,text_length,word_count,sensitivity_level,sensitivity_label
"Raute reported a loss per share of EUR0 .86 for the first half of 2009 , against EPS of EUR0 .74 in the corresponding period of 2008",0,Negative,132,27,2,Confidential
"Cardona slowed her vehicle , turned around and returned to the intersection , where she called 911",1,Neutral,98,17,0,Public
"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct",0,Negative,188,34,3,Restricted
Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006,2,Positive,75,16,1,Internal
Unit costs for flight operations fell by 6.4 percent,2,Positive,52,9,1,Internal
Below are unaudited consolidated results for Aspocomp Group under IFRS reporting standards,1,Neutral,90,12,0,Public
Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 %,0,Negative,121,21,2,Confidential
"The acquisition was financed with $ 2.56 billion of debt arranged by Goldman , Sachs & Co.",1,Neutral,90,17,3,Restricted
`` We are selling an information systems development business to the Finns,1,Neutral,74,12,0,Public
"Finnish pulp and paper machinery maker Vaahto Group Oyj swung to a 1.1 mln euro $ 1.4 mln net profit in the fiscal 2005-06 , ended August 31 , 2006 , from a 249,000 euro $ 319,000 net loss in the fiscal 2004-05",2,Positive,210,43,1,Internal
"The acquisition does not have to be from the frozen foods or fish sector , as long as it has synergies with L+ñnnen Tehtaat 's other businesses",1,Neutral,143,27,3,Restricted
The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million,0,Negative,92,18,2,Confidential
Terms of the acquisition were not disclosed,1,Neutral,43,7,3,Restricted
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market,2,Positive,124,18,3,Restricted
The Board of Directors was authorized to decide on other terms of the share issue,1,Neutral,81,15,2,Confidential
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market,2,Positive,124,18,3,Restricted
"Thus the group 's balance sheet will have about EUR 25.8 million of goodwill , the company added",1,Neutral,96,18,1,Internal
"In the Baltic states the company reports net sales of EUR 11.9 mn , down from EUR 14.2 mn , and an operative EBIT of EUR -2.2 mn , down from EUR -1.7 mn",0,Negative,152,34,2,Confidential
"The contract covers turnkey deliveries to all five airports operated by the authority -- John F Kennedy , LaGuardia , Newark , Teterboro and Stewart International",1,Neutral,162,26,1,Internal
The company did not disclose the price of the acquisition,1,Neutral,57,10,3,Restricted
The contract has been allotted as per lowest price criteria,1,Neutral,59,10,0,Public
The fixed acquisition price amounts to NOK 70 ( approximately EUR 8.7 ) million and additional price NOK 15 ( EUR 1.8 ) million at maximum,1,Neutral,138,26,3,Restricted
The contract has been allotted as per lowest price criteria,1,Neutral,59,10,0,Public
"Previously , the plant was expected to be completed by the end of 2008",1,Neutral,70,14,1,Internal
"The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk",1,Neutral,127,25,2,Confidential
Customers in a wide range of industries use our stainless steel and services worldwide,1,Neutral,86,14,0,Public
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates",2,Positive,244,49,1,Internal
The value of the orders is about EUR 25mn,1,Neutral,41,9,0,Public
The company has 120 employees and annual sales of approximately EUR16m,1,Neutral,70,11,1,Internal
Choose from a Giant Countdown with red head or rainbow trout -- or the Giant Shad Rap in perch color,1,Neutral,100,20,1,Internal
Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result,1,Neutral,92,16,0,Public
"In 2008 , the steel industry accounted for 64 percent of the cargo volumes transported , whereas the energy industry accounted for 28 percent and other industries for 8 percent",1,Neutral,176,30,1,Internal
"According to Nordic financial group Nordea 's analyst Sami Sarkamies , this makes Nokia 's portfolio competitive again",2,Positive,118,18,2,Confidential
"The broad-based WIG index ended Thursday 's session 0.1 pct up at 65,003.34 pts , while the blue-chip WIG20 was 1.13 down at 3,687.15 pts",1,Neutral,137,25,0,Public
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier",0,Negative,151,27,2,Confidential
The company did not disclose the price of the acquisition,1,Neutral,57,10,3,Restricted
"In the building and home improvement trade , sales decreased by 6.3 % , totalling EUR 154.1 mn",0,Negative,94,18,2,Confidential
BM4 middle layer headbox will be equipped with a dilution control system,1,Neutral,72,12,0,Public
The combined value of the orders is EUR 45mn,1,Neutral,44,9,0,Public
Basware finances the acquisition with a bank loan,1,Neutral,49,8,3,Restricted
"The currency effect had a 3.0 pct , or 20 mln euro ( $ 31.3 mln ) , negative impact on the revenue",0,Negative,98,23,2,Confidential
"Due to rapid expansion , the market share of Tallink in terms of passenger carriage through Tallinna Sadam Port of Tallinn totaled 55 percent in November against 45.7 percent in November 2005",2,Positive,191,32,1,Internal
Olli-Pekka Laine has been appointed as the Chairman and Erkki Pehu-Lehtonen as the Vice Chairman of the Board,1,Neutral,109,18,2,Confidential
"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010",1,Neutral,133,22,0,Public
"Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland",2,Positive,196,33,2,Confidential
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008",2,Positive,153,26,1,Internal
The total amount of subscription prices was recorded in the fund for invested non-restricted equity,1,Neutral,99,15,3,Restricted
"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market",0,Negative,181,33,2,Confidential
The financial details of the acquisition were not disclosed,1,Neutral,59,9,3,Restricted
Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense,2,Positive,93,15,0,Public
"Mr Ashley , deputy executive chairman of Sports Direct , sold a 43pc stake in the company for more than pounds 900m at the time of the float",1,Neutral,140,28,2,Confidential
"The acquisition does not have to be from the frozen foods or fish sector , as long as it has synergies with L+ñnnen Tehtaat 's other businesses",1,Neutral,143,27,3,Restricted
"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses",0,Negative,112,21,2,Confidential
The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier,0,Negative,142,28,2,Confidential
"In addition , MIDs are always online and enable full Internet browsing",1,Neutral,70,12,0,Public
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market,2,Positive,124,18,3,Restricted
Financial terms were n't disclosed,1,Neutral,34,5,0,Public
"Helsinki on October 22 , 2008 SSH COMMUNICATIONS SECURITY CORP Board of Directors For further information , please contact : Tomi Laamanen , Chairman , tel. +358 0 400 609 544 Distribution : NASDAQ OMX Helsinki Ltd.",1,Neutral,215,37,2,Confidential
"Finnish shipping company Finnlines , of the Grimaldi Group , reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008",0,Negative,183,32,2,Confidential
"For the first nine months of 2010 , Talvivaara 's net loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009",2,Positive,136,27,1,Internal
"The selling consortium includes funds managed by OKO Bank 's venture capital unit , Bio Fund Management and Finnish Industry Investment , a government-owned investment group",1,Neutral,173,26,1,Internal
Nokia and Capcom announced that Resident Evil Degeneration will be released on N-Gage later this year,1,Neutral,101,16,0,Public
"Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008",0,Negative,99,21,2,Confidential
"Thanks to the multiplying effect of wagon performance , transport will be much more efficient , '' says development manager Juha Malkia from VR Cargo",2,Positive,149,25,1,Internal
"At the end of March 2009 , the company 's loans amounted to EUR 10.113 mn",1,Neutral,73,16,1,Internal
"In September alone , the market declined by 10.2 percent year-on-year to 19.28 million liters",0,Negative,93,15,1,Internal
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market,2,Positive,124,18,3,Restricted
"The operating loss amounted to EUR 0.8 mn , compared to a profit of EUR 3.9 mn a year earlier",0,Negative,93,20,2,Confidential
"Mr. Mikko Saavalainen , head of Comptel 's Global Sales concludes : `` Gibtelecom provides a perfect illustration of the variety of business , technical and regulatory challenges operators are facing in their OSS today",1,Neutral,218,35,3,Restricted
"In 2007 , Etteplan had turnover of EUR125 .2",1,Neutral,44,9,0,Public
Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008,0,Negative,174,28,2,Confidential
The acquisition will have an immediate positive impact on Aspocomp 's financial result,2,Positive,86,13,3,Restricted
"Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland",2,Positive,196,33,2,Confidential
Pretax profit decreased by 37 % to EUR 193.1 mn from EUR 305.6 mn,0,Negative,65,14,2,Confidential
"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan",0,Negative,128,21,3,Restricted
The acquisition price was not disclosed,1,Neutral,39,6,3,Restricted
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007,0,Negative,78,16,2,Confidential
"Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn",2,Positive,57,12,1,Internal
Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008,0,Negative,149,26,2,Confidential
"Through the Nordic Exchange , OMX offers access to approximately 80 percent of the Nordic and Baltic securities market",1,Neutral,118,19,0,Public
The acquisition is expected to take place by the end of August 2007,1,Neutral,67,13,3,Restricted
Total value of the contract is about EUR 10mn,1,Neutral,45,9,0,Public
"Aspocomp Group , headquartered in Helsinki , Finland , develops interconnection solutions for the electronics industry",1,Neutral,118,16,1,Internal
Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006,0,Negative,111,23,2,Confidential
Financial terms were n't disclosed,1,Neutral,34,5,0,Public
"The latest result included per-share charges of 5 cents for stock compensation , 1 cent for research and development and 1 cent for strategic investments",1,Neutral,153,25,2,Confidential
"The order includes a log handling line , peeling line and drying line for the production of parquet base layer veneer for Plyfa 's Hassela mill , central Sweden",1,Neutral,160,29,1,Internal
The acquisition is expected to take place by the end of August 2007,1,Neutral,67,13,3,Restricted
"The order includes a new Crecent former , headbox , and reel",1,Neutral,60,12,0,Public
"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007",2,Positive,238,43,0,Public
"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers",0,Negative,120,24,2,Confidential
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m )",2,Positive,128,28,0,Public
Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007,0,Negative,196,41,2,Confidential
The adjustments concern staff in both the Specialty Papers and the Fiber Composites segments,1,Neutral,92,14,0,Public
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million",2,Positive,130,21,3,Restricted
"Finnish energy company Fortum Oyj said on November 13 , 2007 it was granted an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm",2,Positive,196,33,1,Internal
"Finland 's Technopolis is planning to bring the first section of a technopark on stream in St. Petersburg at the end of 2008 , Kari Mikkonen , vice president of Technopolis , told reporters in Helsinki",1,Neutral,201,36,0,Public
"The acquisition was financed with $ 2.56 billion of debt arranged by Goldman , Sachs & Co.",1,Neutral,90,17,3,Restricted
"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009",0,Negative,144,27,2,Confidential
"Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006",0,Negative,128,23,2,Confidential
"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the",2,Positive,229,50,1,Internal
The acquisition is expected to take place by the end of August 2007,1,Neutral,67,13,3,Restricted
"561,470 new shares under 2003 option rights plan Packaging company Huhtamaki Oyj reported on Monday that a total of 561,470 new shares of the company have been issued based on share subscriptions under its 2003 option rights plan",1,Neutral,229,38,1,Internal
The new SEPA cads will replace Finnish bank cards,1,Neutral,49,9,0,Public
27 January 2011 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today it has won a EUR1 .2 m ( USD1 .6 m ) contract from state-owned Lithuanian Social Insurance Institution ( SODRA ),2,Positive,199,39,0,Public
"`` The biggest challenge was to make the piece look raw , '' Hansen said",1,Neutral,72,15,0,Public
"Berling Capital , Umo Capital and Veikko Laine are the biggest shareholders in Amanda Capital",1,Neutral,93,15,1,Internal
"Fortum needs a clear signal of commitment from the Government that the permit is available before the company will start the next round , Kuula says",1,Neutral,148,26,1,Internal
Terms of the acquisition were not disclosed,1,Neutral,43,7,3,Restricted
Negotiations with representatives of the personnel regarding the restructuring process have now been ended,1,Neutral,106,14,2,Confidential
Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago,2,Positive,82,18,0,Public
The agreement must be approved by the Russian competition authorities before it enters into force,1,Neutral,97,15,0,Public
Operating profit excluding restructuring costs grew to EUR 44.5 million from EUR 31.7 million while operating profit including restructuring costs showed even larger growth to EUR 38.5 million from EUR 7.4 million,2,Positive,213,32,2,Confidential
The total amount of subscription prices was recorded in the fund for invested non-restricted equity,1,Neutral,99,15,3,Restricted
The financial details of the acquisition were not disclosed,1,Neutral,59,9,3,Restricted
The value of the order is about EUR 30mn,1,Neutral,40,9,0,Public
SCANIA Morgan Stanley lifted the share target on Swedish heavy-duty truck and bus maker Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ),2,Positive,173,36,1,Internal
"The utility will also provide services related to electricity management , such as hedging trades and risk management and reporting",1,Neutral,131,20,0,Public
"Mr. Mikko Saavalainen , head of Comptel 's Global Sales concludes : `` Gibtelecom provides a perfect illustration of the variety of business , technical and regulatory challenges operators are facing in their OSS today",1,Neutral,218,35,3,Restricted
The company did not disclose the price of the acquisition,1,Neutral,57,10,3,Restricted
"With this acquisition the wireless modem unit and its approximately 1,100 employees were transferred to Renesas Electronics Corporation",1,Neutral,135,18,3,Restricted
The acquisition is expected to take place by the end of August 2007,1,Neutral,67,13,3,Restricted
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007,0,Negative,104,20,2,Confidential
"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan",0,Negative,128,21,3,Restricted
"The acquired plant has an annual capacity of some 300,000 tonnes and most of its production is sold to domestic customers",1,Neutral,121,21,0,Public
The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir,1,Neutral,120,20,1,Internal
"However , two of the previously ordered sets will start producing electricity at the end of October 2010 , it said",1,Neutral,114,21,1,Internal
The EUR 0.7 million non-recurring expenses have been recorded for the third quarter,1,Neutral,83,13,1,Internal
"The acquisition was financed with $ 2.56 billion of debt arranged by Goldman , Sachs & Co.",1,Neutral,90,17,3,Restricted
"The Whitehall Street Real Estate Funds invest in real estate and real estate related assets , principally through the acquisition of real estate companies , real property and mortgage loans",1,Neutral,189,30,3,Restricted
The shares shall be acquired according to the Rules of NASDAQ OMX Helsinki and otherwise according to the rules related to acquisition of the company 's own shares,1,Neutral,163,28,3,Restricted
Profit for the period increased from EUR 2.9 mn to EUR 10.5 mn,2,Positive,62,13,1,Internal
The acquisition will have an immediate positive impact on Aspocomp 's financial result,2,Positive,86,13,3,Restricted
"The acquisition does not have to be from the frozen foods or fish sector , as long as it has synergies with L+ñnnen Tehtaat 's other businesses",1,Neutral,143,27,3,Restricted
"Arvo Vuorenmaa , the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted",2,Positive,192,34,0,Public
com and possibly also through photo-msn,1,Neutral,39,6,0,Public
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million",2,Positive,130,21,3,Restricted
"In the building and home improvement trade , sales decreased by 6.3 % , totalling EUR 154.1 mn",0,Negative,94,18,2,Confidential
"For 2009 , net profit was EUR 3 million and the company paid a dividend of EUR 1.30 apiece",1,Neutral,90,19,1,Internal
"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday",2,Positive,116,23,1,Internal
Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier,0,Negative,80,14,2,Confidential
Niklas Skogster has been employed by the ABB Group in various positions concerning the development of operations,1,Neutral,112,17,0,Public
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009",2,Positive,138,31,3,Restricted
Timo Penttila has been appointed new manager responsible for the asset management of Nordea 's institutional customers in Finland,1,Neutral,129,19,0,Public
Market data and analytics are derived from primary and secondary research,1,Neutral,73,11,0,Public
"The EBRD is using its own funds to provide a 21.6 mln A loan while the B portion of 10 mln Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc 7.7 mln Euros and Pohjola Bank Plc 2.3 mln Euros",1,Neutral,223,45,0,Public
The transaction included also the transfer of the lease agreement concerning manufacturing premises and employment agreements related to these operations,1,Neutral,153,20,1,Internal
The acquisition is expected to take place by the end of August 2007,1,Neutral,67,13,3,Restricted
"Profit after taxes was EUR 0.1 mn , compared to EUR -0.4 mn the previous year",2,Positive,77,16,1,Internal
"The chain posted sales of 298 million euros for full 2005 , a rise of 19.5 percent , year-on-year",2,Positive,97,19,0,Public
"In the reporting period , net sales rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period",2,Positive,209,42,3,Restricted
The expanded plant is scheduled to be operational by the middle of October 2009,1,Neutral,79,14,0,Public
"The scheme for TeliaSonera and Altimo is practically identical , except that it involves the merger of their stakes in VimpelCom and Kyivstar",1,Neutral,141,23,3,Restricted
"In the second quarter of 2010 , the company 's net profit was EUR1 .7 m compared to a net loss of EUR1 .3 m in April-June 2009",2,Positive,126,28,1,Internal
"ADP News - Feb 25 , 2009 - Finnish printed circuit board PCB maker Aspocomp Group Oyj HEL : ACG1V said today it swung to a net profit of EUR 300,000 USD 385,000 for 2008 versus a net loss of EUR 65.3",2,Positive,199,42,2,Confidential
"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the",0,Negative,220,49,2,Confidential
"( ADP News ) - Feb 11 , 2009 - Finnish wood products technology supplier Raute Oyj ( HEL : RUTAV ) said today its net profit decreased to EUR 4.7 million ( USD 6.1 m ) for 2008 from EUR 6.6 million for 2007",0,Negative,206,45,2,Confidential
"In a letter to Economic Affairs Minister , the listed Estonian shipping company Tallink asks for the approval to be entitled to a 15 % cut in port fees in 2010",1,Neutral,159,31,1,Internal
The MET is located in the Central Business District ( CBD ) of Bangkok,1,Neutral,70,14,0,Public
The fixed acquisition price amounts to NOK 70 ( approximately EUR 8.7 ) million and additional price NOK 15 ( EUR 1.8 ) million at maximum,1,Neutral,138,26,3,Restricted
Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million,0,Negative,95,14,2,Confidential
The real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007,0,Negative,218,43,2,Confidential
"Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including HFC ( hybrid fibre-coaxial ) , xDSL , EttH , and FttH",1,Neutral,273,45,3,Restricted
"A data processing unit collects the data , calculates RVR values and provides the data to users via various interfaces",1,Neutral,118,20,0,Public
"Iso Omena is based in the Matinkyla district of the southern part of the city of Espoo , southern Finland",1,Neutral,105,20,0,Public
The acquisition is expected to take place by the end of August 2007,1,Neutral,67,13,3,Restricted
"Group EBIT for the first half was EUR13 .6 m US$ 17.8 m , falling short of the EUR22 .5 m it posted for the same period of 2009",0,Negative,127,29,1,Internal
"Aldata Solution , a global company engaged in supplier to consumer business process optimization , has announced the details of its Dollars for Dinosaurs program",1,Neutral,161,25,1,Internal
"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009",2,Positive,107,24,1,Internal
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales",0,Negative,139,26,2,Confidential
"Finnish management software solutions provider Ixonos Oyj net profit decreased to 369,000 euro ( $ 575,000 ) for the first quarter of 2008 from 669,000 euro ( $ 1.0 mln ) for the same period of 2007",0,Negative,198,37,2,Confidential
"The Whitehall Street Real Estate Funds invest in real estate and real estate related assets , principally through the acquisition of real estate companies , real property and mortgage loans",1,Neutral,189,30,3,Restricted
"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007",0,Negative,163,29,1,Internal
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million",2,Positive,130,21,3,Restricted
"According to PKC , the acquisition would bring a significant addition to PKC 's customer base",2,Positive,93,16,3,Restricted
The acquisition will have an immediate positive impact on Aspocomp 's financial result,2,Positive,86,13,3,Restricted
"Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur",2,Positive,108,22,2,Confidential
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million",2,Positive,130,21,3,Restricted
The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades,1,Neutral,144,22,0,Public
"With this acquisition the wireless modem unit and its approximately 1,100 employees were transferred to Renesas Electronics Corporation",1,Neutral,135,18,3,Restricted
Operating profit for 2009 lower than outlook published earlier,0,Negative,62,9,2,Confidential
`` Capital expenditure on energy efficiency has unfortunately fallen along with the decline in the economy,0,Negative,106,16,1,Internal
"Last year , 8.3 million passengers flew the airline , down 4 percent from 2007",0,Negative,78,15,2,Confidential
"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the",0,Negative,220,49,2,Confidential
Sports equipment sales also progressed well owing to the prolonged winter season,2,Positive,80,12,1,Internal
"The acquisition was financed with $ 2.56 billion of debt arranged by Goldman , Sachs & Co.",1,Neutral,90,17,3,Restricted
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million",2,Positive,130,21,3,Restricted
Operating profit fell to EUR 23.26 mn from EUR 32.86 mn,0,Negative,55,11,2,Confidential
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights",1,Neutral,100,20,0,Public
"During the rally , which was authorized by the city administration , a consulate official came out to the workers , spoke to them and took a letter from them",1,Neutral,157,30,0,Public
The company 's market share is continued to increase further,2,Positive,60,10,1,Internal
"Net sales of Kyro 's main business area , Glaston Technologies , a manufacturer of glass processing machines , decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005",0,Negative,180,31,2,Confidential
Operating profit fell to EUR 23.26 mn from EUR 32.86 mn,0,Negative,55,11,2,Confidential
