text,true_label,true_label_name,gpt_pred,gpt_conf,gpt_reasoning,gpt_pred_name,correct
The fixed acquisition price amounts to NOK 70 ( approximately EUR 8.7 ) million and additional price NOK 15 ( EUR 1.8 ) million at maximum,3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
ABN : 59 087 901 620 now represent 5.10 % of the voting rights and share capital of Citycon Oyj,0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
"Cash flow from operations totalled EUR 2.71 mn , compared to a negative EUR 0.83 mn in the corresponding period in 2008",1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
Metso 's delivery will include a complete coated board line with related air systems and two winders,2,Confidential,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,False
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions",0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
"( ADPnews ) - Feb 3 , 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from",2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
"Sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure",1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
"As part of the transaction , the +ä+ñnekoski paper mill remained in M-real 's ownership and continued Galerie Art production for Sappi under a long-term contract",0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m",2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
The optimization of the steel components heating process will reduce the energy consumption,0,Public,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,False
This amount will not be included in the pensionable salary,0,Public,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,False
Curators have divided their material into eight themes,1,Internal,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,False
"In the Czech Republic , the profiling unit at Ostrava will be closed and the machinery will be relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009",0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
Terms of the acquisition were not disclosed,3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
"Finnish drug distributor and wholesaler Oriola-KD Oyj said on October 11 , 2006 it named Anne Kariniemi vice president of its Logistics and Sourcing department as of January 15 , 2007",0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
The markets expect Heineken to sell Hartwall as a whole or in parts,0,Public,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,False
The first stage of the contract covers 133 stores and 600 cash registers,0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997,0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
( The acquisition sum has not been disclosed .,3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
The expansion is to be finalized in the autumn of 2009,1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
It was decided that the auditors are reimbursed according to invoice,1,Internal,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,False
The fixed acquisition price amounts to NOK 70 ( approximately EUR 8.7 ) million and additional price NOK 15 ( EUR 1.8 ) million at maximum,3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
The project also implies an underground parking lot for 56 vehicles,1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
"If Honkarakenne starts production there , it will need a partner for sawmill operations",0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees,1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005,2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
"Suominen Corporation estimates that the cost-cutting program that started in autumn 2005 , higher sales prices , and expected growth in volume of Wet Wipes , will make the company 's operations more profitable",1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
"Sarantel , based in Wellingborough , UK , designs high-performance antennas for portable wireless devices",1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
"HELSINKI ( AFX ) - Nokian Tyres reported a fourth quarter pretax profit of 61.5 mln eur , up from 48.6 mln on the back of strong sales",1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
The real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007,2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
The total amount of subscription prices was recorded in the fund for invested non-restricted equity,3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008",2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
at 9:00 EET Alma Media 's Annual Report for 2009 is scheduled to be published in calendar week 9,1,Internal,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,False
Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier,1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
The deal means that ten persons in three countries will transfer to Tieto,1,Internal,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,False
The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting,2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
"Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including HFC ( hybrid fibre-coaxial ) , xDSL , EttH , and FttH",3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
"Featuring the S60 user interface , this 135-gram model also comes with a 2.4-inch quarter VGA display and 100 megabytes of internal memory , expandable through the Micro Secure Digital slot",2,Confidential,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,False
Terms of the acquisition were not disclosed,3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
Sanoma announced the Stock Option Scheme 2008 on 19 December 2008,0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
No financial details were revealed,0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
"Profit after taxes for the period was up to EUR0 .9 m , from EUR0 .01 m last year",1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
The value of the contract is about EUR 27mn,1,Internal,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,False
"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct",3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
"According to the notification , the holdings of Ameriprice Inc. and its group companies are now in total 808,973 shares , which represent 3.582 % of Tekla -¦ s shares and voting rights",1,Internal,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,False
The acquisition is expected to take place by the end of August 2007,3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009",2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
For the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the Trade Register,1,Internal,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,False
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 %",1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
"Operating profit was EUR -0.1 mn , down from EUR 1.3 mn",2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
"With this acquisition the wireless modem unit and its approximately 1,100 employees were transferred to Renesas Electronics Corporation",3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
"Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including HFC ( hybrid fibre-coaxial ) , xDSL , EttH , and FttH",3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
Scanfil issued a profit warning on 10 April 2006,2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
The shares shall be acquired according to the Rules of NASDAQ OMX Helsinki and otherwise according to the rules related to acquisition of the company 's own shares,3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
The fixed acquisition price amounts to NOK 70 ( approximately EUR 8.7 ) million and additional price NOK 15 ( EUR 1.8 ) million at maximum,3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million",3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier,2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
"Under the rental agreement , Stockmann was committed to invest in the building of a bridge over the Gogol Street or build an underground tunnel for crossing the street by 2004",0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
"The share capital of Alma Media Corporation business ID 1944757-4 is EUR 44,767,513.80 and it is divided into 74,612,523 shares",0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
"Patrick Jeambar will also continue being responsible for Innovation and Health , safety and environment HSEA functions of Ahlstrom Corporation",1,Internal,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,False
"The Whitehall Street Real Estate Funds invest in real estate and real estate related assets , principally through the acquisition of real estate companies , real property and mortgage loans",3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
"Operating profit , excluding non-recurring items , totalled EUR 2.2 mn , down from EUR 2.7 mn in the corresponding period in 2008",2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
The previous offer was 3.4 % of voting rights and 12.3 % of capital,1,Internal,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,False
"The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam",1,Internal,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,False
"The group posted net sales of 35.3 mln euro $ 46.5 mln and an operating profit of 760,000 euro $ 1.0 mln in 2005",1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process,0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
"treatment products in Usa , Canada , Mexico , Australia and Brazil Today , Global Research & Data Services is going to publish several market analyses about the markets for water treatment products in some selected countries",0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
The deal will have no significant effect on the acquiring company 's equity ratio,1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009",3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
The acquisition will have an immediate positive impact on Aspocomp 's financial result,3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
The acquisition price was not disclosed,3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
The total amount of subscription prices was recorded in the fund for invested non-restricted equity,3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
Arena Partners Oy is a development company for electronic business,1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
"The chain posted sales of 298 million euros for full 2005 , a rise of 19.5 percent , year-on-year",0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
"Sales in Finland decreased by 2.0 % , and international sales decreased by 9.3 % in terms of euros , and by 15.1 % in terms of local currencies",2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
"The store is located in Poznan in a shopping center named Pestka , the company added",1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
"More than 50,000 tonnes of asphalt mix will be used in the contract",0,Public,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,False
"The Internal Revenue Service sees about 20 percent of all taxpayers wait until the last two weeks to file , with about 40 million returns filed in April",2,Confidential,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,False
"The executive said that countries such as Brazil , Chile , Argentina and Mexico will lead the adoption in the business Ethernet services segment , while Brazil and Mexico will be the early adopters of carrier Ethernet for mobile backhaul",2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
"The operating loss amounted to EUR 0.8 mn , compared to a profit of EUR 3.9 mn a year earlier",2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
"Its annual capacity is some 10,000 MW",0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
"Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before",2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
The acquisition is expected to take place by the end of August 2007,3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
"Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 66.4 mln euro $ 91.2 mln for the first half of 2007 , compared to a net profit of 7.1 mln euro $ 9.8 mln for the same period of 2006",2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
"The equipment Ixonos acquires with this deal includes mechanical engineering hardware ; an RF and antenna measurement laboratory ; facilities for the measurement of audio , cameras and displays ; as well as devices and robot units for the testing of mobile devices",0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000",1,Internal,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,False
8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008,1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
"The scheme for TeliaSonera and Altimo is practically identical , except that it involves the merger of their stakes in VimpelCom and Kyivstar",3,Restricted,3,0.9,GPT-4.1-mini-FT classified as 'Restricted' based on fine-tuned understanding of financial sensitivity patterns.,Restricted,True
"In Finland , the Bank of +àland reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007",2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009",0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005,2,Confidential,2,0.9,GPT-4.1-mini-FT classified as 'Confidential' based on fine-tuned understanding of financial sensitivity patterns.,Confidential,True
It also turned in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26,1,Internal,1,0.9,GPT-4.1-mini-FT classified as 'Internal' based on fine-tuned understanding of financial sensitivity patterns.,Internal,True
"Quarterly diluted EPS on continuing operations came in at 0.21 eur , compared with last year 's 0.12 eur",0,Public,0,0.9,GPT-4.1-mini-FT classified as 'Public' based on fine-tuned understanding of financial sensitivity patterns.,Public,True
